"" "(Intercept)" "time" "X1" "X2" "" "" "" "" "W" "B_t" "beta_shared" "W" "B_t" "beta_shared" "" "" "" ""
1 0.430733081938243 -0.997091826004971 0.908438239991353 1.08886237670664 0.532271763751692 0.267876933228017 0.267876933228017 0.639269868157761 0.870879613408057 -0.403606935924323 0.429879762471374 0.669097237901794 0.233905712912182 0.305992946037054 0.443523946500898 6 0.306666666666667 1
51 0.573953441952137 -0.933269136203933 1.00036853544663 0.952213609919481 0.512812376177299 0.201768061494103 0.201768061494103 0.481537153357298 0.351890334282167 -0.345086223704082 0.622975903987564 0.694997594020654 0.373928995122947 0.462105167224496 0.479270158857446 16 0.303333333333333 51
2 0.545733604452805 -0.875165598616872 1.01848996633206 0.978304138642173 0.499401924814512 0.191110660453373 0.191110660453373 0.440482545653059 0.159840660003765 -0.309532048745615 0.350080007432644 0.467834736859217 0.37955207902249 0.449865176351534 0.577595923964591 16 0.301666666666667 2
52 0.602864133310313 -1.03782420247935 0.991483571388068 0.88123734277446 0.473485438185745 0.239184205230598 0.239184205230598 0.602017664295491 -0.225225693419301 -0.236005321786886 0.411511048520654 0.378917978310911 0.262609176043634 0.395766662126545 0.545597771987551 11 0.3 52
3 0.467094198743541 -1.05806038812204 0.952240927882182 0.98214718733459 0.498093377684362 0.161295619204336 0.161295619204336 0.539823288571343 0.118310105055096 -0.252064194029762 0.472248963074711 0.186286836787417 0.200827256565375 0.267889913313606 0.515563335092811 6 0.305 3
53 0.374478256982835 -0.95202315140269 1.12983685463069 1.08463328978617 0.546305398551718 0.234408752650279 0.234408752650279 0.517344994418429 0.358646831760301 -0.158873648758934 0.390639006778193 0.669837583419094 0.424351509055977 0.364446397789251 0.362480958450562 9 0.291666666666667 53
4 0.406065029341615 -1.03257798215713 1.09088185746945 1.03763373925082 0.468945325138185 0.123527417766639 0.123527417766639 0.359564348302638 0.26712600082249 -0.237876948282258 0.482512107886313 0.224957134514769 0.183866622605616 0.218977108586583 0.69663336655098 10 0.296666666666667 4
54 0.656543209442723 -0.985758504119843 0.911527255922134 0.866598752516723 0.557782368939531 0.236682829133545 0.236682829133545 0.598468802275039 0.46446412662188 -0.35908310035063 0.436804556662645 0.728492823254202 0.30391849079823 0.464113491118386 0.456030076436455 8 0.298333333333333 54
5 0.636544469540968 -0.993184447696663 0.955360109990646 0.90271868458689 0.499344375561807 0.280522015974653 0.280522015974653 0.474052936213919 0.138480445636727 -0.325510768765844 0.335695781515109 0.167933236472482 0.244002854148481 0.38841373910113 0.458789821139877 9 0.3 5
55 0.432097754467755 -1.05541955266982 1.09388727380913 0.944473848101947 0.556517245476882 0.190681800615877 0.190681800615877 0.40392043482976 0.339511415587917 -0.352070622479306 0.495408229192744 0.616035401016137 0.257854259334969 0.234854684527945 0.369787164514119 4 0.301666666666667 55
6 0.60196518998483 -1.13877718280723 0.957970792913912 0.931932381810065 0.433034139429611 0.207841374798148 0.207841374798148 0.557541097533735 0.647138187741494 -0.368384164823086 0.35535464832898 0.856965710180639 0.387833327356797 0.36885444630955 0.806608617916945 11 0.29 6
56 0.4620914362244 -0.99989019444905 0.928567722534273 1.05617294565505 0.515133595322056 0.119636520984988 0.119636520984988 0.486837497239883 0.22193215202083 -0.482166248781707 0.302101365641863 0.213355400275133 0.311518275135691 0.292111314964211 0.496920949295488 3 0.301666666666667 56
7 0.590658948087107 -1.05010357616686 0.889034210145027 1.00837219694744 0.477326854238503 0.217079960042574 0.217079960042574 0.406469038136524 0.532260603165955 -0.323371259438163 0.539623661309937 0.500064973408384 0.313791360929989 0.333521905456564 0.293116912802324 6 0.306666666666667 7
57 0.285384929777308 -0.88086547700253 1.17859271678521 1.08872888990099 0.538803047770555 0.163242457444733 0.163242457444733 0.365873251662005 0.0960619667504233 -0.461343457444575 0.378061932194956 -0.0633823716308533 0.16931089361451 0.122951157320457 0.350154758285551 3 0.313333333333333 57
8 0.502422344032205 -1.06086110115749 0.964662926781036 1.00759906230994 0.493085384876364 0.254163482740308 0.254163482740308 0.575203021772414 0.443764084687364 -0.187859375035039 0.266190917708352 0.628197119691541 0.273934264399727 0.250979329733247 0.44052923018293 6 0.295 8
58 0.3721374028421 -0.996905587444884 0.989830459507504 1.12477971019116 0.526812880863004 0.180575424409773 0.180575424409773 0.404548705691906 0.253143017335053 -0.408210782507717 0.427732477062864 0.189062796829385 0.367416447359096 0.286997076601876 0.239318815708344 7 0.3 58
9 0.675380970682162 -0.978879812507568 1.03735089330282 0.833755077319474 0.455012955858159 0.204931052443041 0.204931052443041 0.39335772799272 0.799673403694358 -0.491627656459721 0.363407011836764 0.618672758995941 0.247847672472469 0.284035427896503 0.713434176261379 13 0.303333333333333 9
59 0.424013987034284 -0.970597413728175 1.04885006679807 1.07208580949049 0.476410373272086 0.169099576400844 0.169099576400844 0.592467771464239 0.220632560243119 -0.206812287708747 0.313285341615725 0.640855586685626 0.351111888573148 0.373713653689201 0.245236514113381 6 0.3 59
10 0.436828508739371 -0.953160438715431 0.97838385734407 0.97721244926628 0.547752272256752 0.232946108307772 0.232946108307771 0.468132914024076 -0.0777356553821509 -0.303570301349267 0.325523385887849 0.25246855809285 0.173136101840624 0.342882414117265 0.415130051746343 5 0.303333333333333 10
60 0.640135073761119 -0.96344614313877 0.904758238624216 0.974971393053997 0.54547605294973 0.253113284219642 0.253113284219642 0.49515926591626 0.118892999826805 -0.269595990629092 0.3500997683643 -0.107821066660395 0.296675232330562 0.195965443186287 0.614395237515813 11 0.3 60
11 0.698128681323498 -0.886602668423552 0.850827847704653 0.922497281163885 0.512034649357702 0.156695167336021 0.156695167336021 0.458905858786969 0.0684107697500183 -0.35394729814393 0.384275531996771 0.351902590652717 0.337636317208792 0.234192769735797 0.636648880442174 9 0.303333333333333 11
61 0.555231350218177 -1.02638650736513 1.04291614490454 0.910141427243277 0.501050913681731 0.229192640650218 0.229192640650218 0.51492205369572 0.394871389927749 -0.306827396596875 0.259388424588736 0.624443901296496 0.254466139994686 0.157602082508344 0.288310280317664 7 0.303333333333333 61
12 0.391448288146319 -0.98616326508801 0.973838443080086 1.03359818920669 0.515344671134082 0.1337425574121 0.1337425574121 0.373032901510719 0.758246715310777 -0.505239202743335 0.531782577113037 0.125304240606926 0.451606209846236 0.423126256212697 0.2559018944178 6 0.296666666666667 12
62 0.240357462720305 -0.935316247296147 1.11077054034814 1.15621651405137 0.5152792402339 0.275459944475707 0.275459944475707 0.648347180984706 0.715830823835835 -0.190412108011806 0.310317327778215 0.554820949354534 0.237946059666704 0.44469364405993 0.691638539130568 7 0.303333333333333 62
13 0.443389356057351 -1.05591648685057 1.03432381475722 1.03046630579853 0.485602135423306 0.180431617062975 0.180431617062975 0.482556174713922 0.109604368884838 -0.42841736455999 0.280073609762243 0.35501721602237 0.20787630936264 0.363278698669571 0.643598374280561 11 0.306666666666667 13
63 0.592507696682254 -0.958307757197736 0.9471270852425 0.987652204029308 0.477836395957881 0.270912268168267 0.270912268168267 0.544399097931627 -0.0540100636473439 -0.306364080993149 0.162832758457459 0.213596363218544 0.325550341015651 0.12573967720245 0.691384348366688 13 0.3 63
14 0.326477241769726 -0.997626466964607 1.09912762471105 1.05911124854174 0.648713025611286 0.231662850258577 0.231662850258577 0.452121049360389 0.313414306798019 -0.202550741672043 0.404780583534296 0.414178076443073 0.400979429050389 0.314014926021054 0.507848590249529 14 0.301666666666667 14
64 0.531045718781573 -1.00750290768615 0.899529759665376 1.02280271411481 0.482024218911269 0.265168471560562 0.265168471560562 0.537869397844754 0.610805406695758 -0.266308025010076 0.345981923248938 0.834055730186972 0.402965806013897 0.256462404286116 0.32315832421325 11 0.301666666666667 64
65 0.64032146192175 -1.00609157311908 1.08330310823585 0.902005412184154 0.454546895574527 0.211457416782224 0.211457416782224 0.619481990709321 0.0300820249619218 -0.363856863739894 0.248315743138996 0.53529595784633 0.209522991474011 0.269484981183549 0.252411368780676 3 0.3 65
15 0.386796045824708 -0.819128963286456 1.02243340026354 1.08739884797584 0.525796944061486 0.193030727233449 0.193030727233449 0.469085715042816 0.277435570450977 -0.322601180488989 0.331074786670765 0.310395349540954 0.277406991712074 0.404568411724751 0.480923998507035 7 0.298333333333333 15
66 0.480087968530272 -0.982602075881582 0.901748236359373 1.04305620793029 0.455825783172142 0.133239773995519 0.133239773995519 0.429535205606274 0.493133582273568 -0.445914394652684 0.578516740220416 0.258366487018149 0.372817403351115 0.296803359893232 0.462999294948588 15 0.295 66
16 0.434458153098869 -1.01347903916195 1.12514969787344 1.07484755194334 0.436403294252506 0.192221641277646 0.192221641277646 0.521495447376567 -0.0211201792352848 -0.242846599940844 0.454419664861034 0.316559285281466 0.356137079877103 0.459399270027256 0.546354248469782 9 0.306666666666667 16
17 0.441356207589368 -0.978812871270381 0.937281711197514 1.08136612081632 0.408207729717383 0.23298553331614 0.23298553331614 0.458664699008075 0.283648310529105 -0.221145071763601 0.364869281144597 0.509012290124384 0.25053140544386 0.330180779438833 0.414559753397386 10 0.295 17
67 0.46051189441354 -1.06547140175755 0.982956653952867 1.01223964444913 0.451152523882754 0.129660916507359 0.129660916507359 0.427542231246323 0.592189215829643 -0.326815697656033 0.505152288177592 0.772629212251108 0.26888904658075 0.363837665709029 0.359425081452502 9 0.301666666666667 67
68 0.536508087622917 -0.973483778491612 0.980015546578581 1.03163103095307 0.481167077780697 0.209269885441507 0.209269885441507 0.414332268938011 5.39542732681595e-05 -0.250271442124901 0.307170035290731 0.625763697056384 0.290942065070692 0.266635609004148 0.448826925586733 7 0.305 68
18 0.402983155450671 -1.05586506190326 1.03264520622962 1.10284884924005 0.569552737903664 0.151350354534868 0.151350354534868 0.552628546658138 0.461416849322167 -0.387150497716364 0.474541964760525 0.195910340826488 0.368586397218759 0.380366724969388 0.195754800211747 7 0.3 18
69 0.402623892214542 -0.996381036068057 0.985005133897592 1.10510716366359 0.492936191029656 0.198529111878075 0.198529111878075 0.466429295522633 0.770107433779349 -0.248371187419363 0.469514381058866 0.233868885177477 0.118272816471143 0.235804057343838 0.393649240057676 8 0.298333333333333 69
19 0.453831263615315 -1.01392817690677 0.902079843844255 1.05232213656467 0.48748284819946 0.16237733234825 0.16237733234825 0.459178032547502 0.215025257899634 -0.288554414179435 0.272914552387417 0.0812391426403632 0.465017349255551 0.294457215484431 0.423636374561536 2 0.295 19
70 0.387230273611422 -0.997687633863019 1.06759054252126 1.03913122720076 0.424836303495696 0.171352156989695 0.171352156989695 0.387257627162051 0.368389413583212 -0.281134553778198 0.300638737288109 0.547308118061241 0.302956603131705 0.349665635318637 0.332209872486397 7 0.298333333333333 70
20 0.408078654354432 -0.922313855079407 0.97046946367912 1.06161888725348 0.56373051146948 0.192705676422348 0.192705676422348 0.434670654433275 0.00235378172241048 -0.273784913321005 0.591752631269435 0.195156145177174 0.256434814151439 0.406402893839443 0.774593705724435 7 0.3 20
71 0.484617965990966 -0.939537282033967 1.00811740018007 1.03388675318833 0.497432401321645 0.15042701651709 0.15042701651709 0.595697517851816 -0.0248036290217144 -0.3304244939312 0.345956466589769 0.400696766113264 0.271594104896758 0.372880366063029 0.466604641535351 11 0.305 71
21 0.395926761637731 -0.91122541262171 1.08006154758159 1.04378686294908 0.557952000025685 0.153657127824949 0.153657127824949 0.413132237302448 0.0780508534463189 -0.301781868877665 0.359448338358866 0.564272544921991 0.298432800355821 0.290107584546438 0.992968477988103 11 0.3 21
72 0.636207878286376 -1.01801242996914 0.879036366606546 0.909230797385449 0.492990418944462 0.215167506951755 0.215167506951755 0.481554177981141 0.512927026354429 -0.208000665968076 0.504142517467535 0.109870761870652 0.23175471251577 0.317618447390867 0.688592551880662 11 0.3 72
