"" "(Intercept)" "time" "X1" "X2" "" "" "" "" "W" "B_t" "beta_shared" "W" "B_t" "beta_shared" ""
168 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
212 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
186 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1
238 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
213 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
239 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
214 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
187 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
169 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
240 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1
215 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1
170 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
188 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
241 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
216 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1
171 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
242 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
189 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
217 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
243 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
218 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
172 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
190 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1
244 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
219 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0
173 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
245 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
191 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
220 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
174 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
246 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
192 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
221 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
175 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
193 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
247 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
222 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1
248 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1
194 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
195 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
249 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
223 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
196 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
197 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
250 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0
