"" "(Intercept)" "time" "X1" "X2" "" "" "" "" "W" "B_t" "beta_shared" "W" "B_t" "beta_shared" "" "" "" ""
1 0.118776005419388 0.0724001691626318 0.104326472495036 0.091671071703285 0.067337084154148 0.0594749213341829 0.0594749213341829 0.116509731044817 0.260130791859971 0.0929140403744303 0.0853553830370054 0.292145430484305 0.0945343547761328 0.0874386201061146 0.147760701979398 5.92328055432566 0.0216735857250668 29.011491975882
2 0.127356909375371 0.0705476227833498 0.0965944700868725 0.0834644165477463 0.0571373750361473 0.0519950058049655 0.0519950058049655 0.0971689355318034 0.336080439212093 0.102181247034193 0.101743324802533 0.306356114692886 0.0925080169064524 0.0992878708198386 0.10561691488299 5.69153189866624 0.0245502473809257 29.011491975882
3 0.121840894913363 0.0940803812265369 0.109642049595646 0.0941837063412078 0.0631798960053593 0.0623513861821055 0.0623513861821055 0.124941064304829 0.277514540422607 0.101549392403507 0.099688128053605 0.366816018143042 0.0861421877818134 0.0935218016722734 0.138472719380392 7.18845173760236 0.0224831025214471 29.011491975882
4 0.109582548478174 0.0843010346615758 0.105472407991987 0.0830287883478983 0.0493360311351152 0.0536553632233413 0.0536553632233413 0.120704396854274 0.250924274216686 0.0888815038168383 0.105169379540895 0.244522129058582 0.09496462649857 0.099767228796422 0.129127723421257 5.60335397396735 0.024603150717998 29.011491975882
5 0.123944275174312 0.0808677989762788 0.107289929020435 0.0966902410934607 0.057464757322532 0.0549143875597526 0.0549143875597526 0.0928380620880212 0.362500370981408 0.0958617903132039 0.114251033408505 0.29683518633941 0.0807575480599395 0.0836185600684395 0.156457051608575 7.03997245173673 0.0232662862476497 29.011491975882
6 0.145844265174754 0.0844571367675763 0.102509231002893 0.0982169038369647 0.082320971761931 0.0769032320297741 0.0769032320297741 0.0895190508960952 0.308222031469369 0.087115336273587 0.0963818948815419 0.386976569705296 0.0927833545720142 0.111715467748856 0.176296051822086 6.82334080916231 0.0236370920633677 29.011491975882
7 0.10601526986308 0.0796410095432207 0.0973973777880338 0.0819166883159334 0.0466886050518942 0.0423450315398896 0.0423450315398896 0.0923698839867124 0.356934144177153 0.0986115995266063 0.098812293144947 0.347048257369146 0.110566233632558 0.0990311792998847 0.183416259392068 5.60896648684096 0.0239850016266479 29.011491975882
8 0.107391921478224 0.0849756032046711 0.115038102440616 0.0657067955593981 0.0524896690569493 0.0616806116425689 0.0616806116425689 0.136046787603348 0.303908760026678 0.0810749204506848 0.118923708460876 0.317244185230808 0.087120435173221 0.110132406598296 0.130576834549381 7.66600787683373 0.021060443916969 29.011491975882
9 0.121414868973789 0.0784507851597643 0.0951504294951323 0.0824048869584696 0.0536466952260696 0.0593993643210899 0.0593993643210899 0.0768545350328821 0.287507492535483 0.112366566257035 0.101781976497717 0.325700114677381 0.101719555646422 0.117597490561815 0.099910581451683 5.58565080805227 0.0217277112081193 29.011491975882
10 0.113294378439011 0.0758367472276999 0.102770850732348 0.0796022432524413 0.0618648257121006 0.06140317920338 0.06140317920338 0.100911639058018 0.301691156820912 0.0819592023593539 0.0881156626826744 0.282497670357236 0.0945824305965215 0.096963252845344 0.109199917859827 6.18760572810394 0.022304368372246 29.011491975882
11 0.139175543877198 0.0663952310983223 0.0962124787066168 0.11041996265002 0.0678509658691847 0.052634810326933 0.052634810326933 0.123464622623795 0.32024697193927 0.105617334474853 0.128419969003957 0.336270241786613 0.0952759760262916 0.0796563478091156 0.166722861849622 6.99912692968043 0.0207418445698934 29.011491975882
12 0.118956277779043 0.0730618961983212 0.0993047019261469 0.0875609742406311 0.0549636602019444 0.0545753362711586 0.0545753362711586 0.09604526164774 0.257039369846681 0.086296163963887 0.115389927008704 0.384687701556224 0.095452798558055 0.107379258472349 0.142637902062969 5.92487480155838 0.0237065791277315 29.011491975882
