"" "(Intercept)" "time" "X1" "X2" "" "" "" "" "W" "B_t" "beta_shared" "W" "B_t" "beta_shared" "" "" "" ""
1 0.455674023948942 -1.07345858034414 0.982259853169532 1.12028292369557 0.542425767549268 0.304644077711291 0.304644077711291 0.588672279420055 0.448228275689223 -0.310054553388195 0.456484846229068 0.294198755968236 0.437004799486307 0.260404113564311 0.386219509112901 26 0.305 1
2 0.476317679461568 -0.860158340145413 0.9351878023871 1.06402306247402 0.444899336261348 0.203692228198975 0.203692228198975 0.503588762004303 -0.137811344688922 -0.278718986278583 0.476944651380307 0.00500832415981768 0.224562328334881 0.186884558450047 0.145758281741831 13 0.3 2
3 0.624181755440455 -1.05146674707045 1.06175513288958 0.935587130762453 0.504782540177301 0.294931728136535 0.294931728136535 0.78833136993493 0.299794678026892 -0.249411914006846 0.411576149734777 0.355988280358938 0.386877197067683 0.440868248455276 0.213743625300283 7 0.3 3
4 0.645362887568427 -1.07712149624578 0.947183164958068 0.853292619932476 0.41384557524049 0.128372274225351 0.128372274225351 0.533011926809077 0.735281558319138 -0.360439305641961 0.343762804539167 -0.309467668210165 0.326215920432415 0.341042392025805 0.310536241954876 9 0.2975 4
5 0.421253408577346 -1.02407405310181 0.946761197711673 1.06848785846547 0.487946623657711 0.18072373698782 0.18072373698782 0.557022934749284 0.41472727680205 -0.243984079419506 0.482422268610332 0.500634404751014 0.334245233080868 0.242354418417216 0.359139881840288 28 0.3025 5
6 0.598954124210386 -1.00296673241178 0.982680514618276 0.924497416647742 0.587736788350853 0.110208336043664 0.110208336043664 0.404658936500477 0.371013317487923 -0.270978744292926 0.455970995040717 -0.243791492534291 0.259677409227944 0.311990069988664 0.332179571972383 25 0.2925 6
7 0.533605548127332 -1.07294798130773 1.05766406277675 0.960021758953358 0.501746766510336 0.225054140461723 0.225054140461723 0.359104012255989 0.15452219300603 -0.411506623094902 0.482232655000245 0.706576088054351 0.251906096589101 0.248686711751623 0.420432122617435 17 0.3025 7
8 0.492105160404577 -0.929410464859825 1.15302342099624 0.905420367460716 0.434281240951378 0.156047719315378 0.156047719315378 0.642729402391699 0.453820619719446 -0.188384339229251 0.580908109643429 0.117646887240908 0.242457848578951 0.484686764759974 0.130840039277843 19 0.3025 8
9 0.628463178446902 -0.887865397204506 1.07957878940041 0.842797943854749 0.493298251963517 0.150360698352196 0.150360698352196 0.416403916190617 -0.214256966166422 -0.310898936406125 0.322257864166785 1.09852673285275 0.352696515403505 0.405758034526784 0.108913436966901 9 0.3 9
10 0.415740635974024 -0.948243840512041 1.03307278036521 1.09850342542997 0.540001740036808 0.326428317682587 0.326428317682587 0.609144191817944 0.193193655611271 -0.4378519359226 0.312173980985764 0.261825741152584 0.208073880170759 0.439150931278509 0.123643437668318 18 0.295 10
11 0.422095367108068 -0.861554412447231 0.986804398002017 1.05152333114557 0.503953012800806 0.228626167257698 0.228626167257698 0.613351213870187 0.654597746359029 -0.248970566907249 0.45634876566155 0.227889563144936 0.377134246443637 0.30522468277764 0.359654147555998 19 0.3025 11
12 0.356324049354437 -1.10467340823178 1.04823352109106 1.15697505699698 0.476182673675535 0.212255423149759 0.212255423149759 0.463730340772943 0.224775831143812 -0.253732870976635 0.451029966182503 0.426435107392459 0.358489634703629 0.442476049819255 0.184127486664237 11 0.2975 12
13 0.533507372106062 -0.976415276677731 1.09033858701846 1.00704657527988 0.510547703887756 0.212301636239076 0.212301636239077 0.440560079534598 -0.0459564945546466 -0.249657598565183 0.4526338471428 0.0618692997446764 0.307791109945928 0.258056952164156 0.390391070291617 10 0.2925 13
14 0.398886256827761 -0.991157882074102 1.01252792157377 1.08596334674139 0.50827928820464 0.291249589749648 0.291249589749648 0.83534632421744 -0.0722563694566166 -0.298742003201415 0.560350619851703 0.196052017933357 0.309991481030737 0.25630359944733 0.125365672409412 22 0.3 14
15 0.449899174088415 -1.03605352851096 0.986453846875156 1.09801520555907 0.495806194191306 0.24015273903326 0.24015273903326 0.462384621840381 0.435757986484777 -0.215708119585742 0.307397312628508 -0.149689147831042 0.391016250994834 0.283092890578928 0.213740595940152 22 0.2925 15
16 0.411425938623318 -1.04789294515607 0.942246588414765 1.11671162167293 0.46412219427449 0.257032154161345 0.257032154161345 0.523955161405346 0.280618784379721 -0.0996590820300199 0.481489153168598 0.630378951706027 0.335660936874442 0.180592651804143 0.238653044231436 8 0.2925 16
17 0.187755649113352 -0.925868817443992 1.11599499265555 1.14804153423504 0.52538296585514 0.185026120469784 0.185026120469784 0.352237854700704 0.586284340604436 -0.293355953903598 0.257842041017424 0.734386020930431 0.282715033908678 0.361454109754963 0.480701043010451 17 0.3 17
18 0.359907858298314 -1.13264407135627 1.09111463704921 1.10429647212196 0.464458288762847 0.32307829126175 0.32307829126175 0.67141820270629 0.463296734693588 -0.246095036324481 0.323220725193734 0.6361248727922 0.128756447776119 0.308856543826379 0.401434776467976 5 0.3125 18
19 0.675679934822039 -1.22043928312466 1.00804848773746 0.867538360982992 0.462860998768919 0.244407762187953 0.244407762187953 0.526413303631805 0.46729725785078 -0.279423140730939 0.301324583688627 -0.0177658660595015 0.239112907150104 0.246690732469538 0.27541660326976 5 0.305 19
20 0.562187597587768 -1.12510154127805 0.934950270099867 0.964428485182398 0.444568175781649 0.221260348789366 0.221260348789366 0.572883145839729 0.099283734590534 -0.309063636009805 0.363690136629814 0.248167911925516 0.371555035066022 0.432733647456007 0.557709153254328 9 0.2925 20
21 0.655308165095642 -0.85813674399362 0.995211829224869 0.951649949912468 0.50016982545147 0.263008292511484 0.263008292511484 0.491673836629174 0.340621551389359 -0.190245039542426 0.414262379809436 0.579632383995638 0.19516115588351 0.467276281356265 0.224774493955266 9 0.2975 21
22 0.676529357059483 -0.974011297832345 0.926020351716285 0.912584231728029 0.424862262618531 0.13976436724648 0.13976436724648 0.410244297751562 0.223070859886394 -0.219636106133607 0.444560300842494 0.541476235820693 0.22972676213028 0.174055432843307 0.363382597450014 7 0.2975 22
23 0.610365114504231 -0.93592013725392 0.836120781972596 0.99985957119358 0.571798721364613 0.283747021968117 0.283747021968117 0.490632055453657 0.0709692946350187 -0.328938717922758 0.492024447223554 0.208684537213165 0.300020167811083 0.325936564282664 0.113814484318139 13 0.3 23
24 0.435549080859003 -1.00851201505181 0.958908636147953 1.11669155867031 0.482541688102639 0.13770716278895 0.13770716278895 0.344385314891552 0.194773509978077 -0.274006848069478 0.477025114710413 0.745854653696581 0.317560165354777 0.419549088082816 0.344104499496698 5 0.3075 24
25 0.628505657565461 -0.988420701998132 0.917194289946879 0.928251603252701 0.450121017339832 0.120624920691915 0.120624920691915 0.638733934683295 0.178417738214212 -0.466421335415912 0.454221782462612 0.460193051966341 0.175571284460374 0.322084706467783 0.465618307695931 21 0.3025 25
26 0.483095752618913 -1.01696074575399 1.06379919697999 0.928414162964233 0.443181746893462 0.167367728588049 0.167367728588049 0.469856671227533 0.231509123310391 -0.3048456860278 0.234957759235076 0.569556644913777 0.339044736244799 0.114467422529779 0.460728852202507 20 0.295 26
27 0.614822010900599 -1.19075498922728 0.997464132578371 0.968366413665242 0.496024512528929 0.402504386945011 0.402504386945011 0.612860789125586 0.391767801945205 -0.132731979821174 0.333862065781892 0.334564690438548 0.349863126633895 0.158009615430691 0.293392998891947 14 0.3 27
28 0.344206763441558 -1.04501560595872 1.14622333461515 0.985373300524433 0.537309753247734 0.163206428623249 0.163206428623249 0.450111059817435 0.331822984497005 -0.243362783939861 0.352796141078976 0.15121232801649 0.222610680658859 0.225987567784856 0.169620899696597 6 0.3025 28
29 0.467948626918645 -1.07102148626179 1.03685925846204 1.02173718106944 0.529009681955439 0.234393692018381 0.234393692018381 0.455056663902488 0.109857724376688 -0.390071685995938 0.534253681344946 -0.464267981700534 0.269077450910785 0.33667487867522 0.118348140240667 24 0.305 29
30 0.584643601663993 -1.04795618116272 0.957028912688346 0.98747701285312 0.540768928934373 0.264328552583259 0.264328552583259 0.505383448676638 0.214878898403221 -0.431249360783547 0.552250759880306 1.04117058267606 0.30379569472882 0.420893847115104 0.314847033424874 8 0.2975 30
31 0.514818099456 -0.871938564959901 1.08686288772666 0.927532326240168 0.398448871104461 0.246023050387894 0.246023050387894 0.618827978502332 0.631398749882498 -0.222869688357042 0.291075701183754 0.998458455896382 0.373964914375763 0.184057842651506 0.529265208880509 17 0.2975 31
32 0.456625754637604 -1.0747335027743 0.915642520187557 1.09716517766802 0.460472952203413 0.231676837511977 0.231676837511977 0.430840029963472 0.0163358713317175 -0.453812464474252 0.45754906756632 1.03508435993601 0.366513450574877 0.345691885681735 0.213582922946098 19 0.305 32
33 0.521236551240401 -1.02282593159559 0.857714092378007 0.947392951089472 0.442786368747705 0.159503226693392 0.159503226693392 0.404318052265655 0.111199190626677 -0.351682279131489 0.415944436995099 0.42400054137859 0.468089916874222 0.240531940886382 0.1825247972955 17 0.2975 33
34 0.871562147438632 -1.05204001198681 0.741010738906724 0.819384294793567 0.434489136027585 0.235408109825933 0.235408109825933 0.368580982869303 0.0109151898532452 -0.261179550796131 0.346785361967886 0.341041101510195 0.249608244556476 0.283860632860275 0.264488939667732 8 0.2975 34
35 0.543650462393208 -1.05740022405224 0.881938930906659 1.04840656754755 0.458320768264197 0.2068964573802 0.2068964573802 0.65792593822056 0.41185799302669 -0.312745858927344 0.374936347657102 0.277726209190633 0.385217632663445 0.224596942219899 0.197905697711002 24 0.2925 35
36 0.746135456949727 -1.19917112495832 0.799842963488457 0.883263366999648 0.587432985756634 0.285416220404232 0.285416220404232 0.530853066613583 0.236313776634019 -0.309163299607086 0.328879584097412 0.46755808117999 0.131384675808459 0.0421008223844343 0.441372897644323 11 0.3025 36
37 0.506623293215404 -0.984922232091655 0.888046505255142 1.05461331054218 0.509863699241204 0.177189154139691 0.177189154139691 0.44060790542709 0.512866436182637 -0.209226132353515 0.262486901470837 0.491662814648033 0.4469927885848 0.226109282934508 0.324084753951117 11 0.295 37
38 0.504976953302055 -1.07776425283741 1.01357124939279 0.939815633620181 0.471854701824284 0.149336923050856 0.149336923050856 0.432040981378613 -0.289202585043367 -0.225102995823094 0.446012732679709 0.618529463577679 0.292821729324558 0.135766155082591 0.211391677332831 23 0.2975 38
39 0.623701504702708 -0.978184157884506 0.888001620066661 0.920292170308031 0.442254633229283 0.173901963722294 0.173901963722294 0.490721965039992 0.631891747757334 -0.223660391132667 0.480207517716239 0.0308382949849749 0.340371480819633 0.307667712040651 0.193201637619984 11 0.2975 39
40 0.761288056813022 -1.14788520602779 1.07666045904017 0.805501944404792 0.43768163824203 0.244497337855675 0.244497337855675 0.501638866535712 0.531886539789939 -0.151697563238515 0.398229449251107 0.0611351555404069 0.312716345225042 0.332438033540157 0.502822903654172 23 0.3025 40
41 0.399659201465165 -1.01290265528353 0.948138943750875 1.07951341184294 0.472848375318047 0.190926917630611 0.190926917630611 0.550107028875965 0.224025200091421 -0.206629646528316 0.29803652270722 0.806004171971234 0.353126218712112 0.248992153429208 0.333855077940213 14 0.3025 41
42 0.374200171707138 -1.0099190639485 1.05898864245086 1.08918938969072 0.444160064348524 0.126192127829183 0.126192127829183 0.430325461507526 0.0832158037383214 -0.295489671272378 0.185473523966192 0.536649641665208 0.322113901484015 0.430426029443153 0.473602621071141 10 0.3 42
43 0.503263104400285 -1.04133243554062 0.807970013231271 1.02045909685783 0.4173058701103 0.145399159512548 0.145399159512548 0.352730224872191 0.323619357497517 -0.218107965031576 0.488607364764093 0.490301966327419 0.23045577972311 0.353933427654451 0.560394554743816 13 0.305 43
44 0.460081149717308 -1.10773610650748 0.994937415739263 1.02693378690253 0.507124306345897 0.218876551947451 0.218876551947451 0.447400888835618 0.289370893027028 -0.366291394546661 0.517419759158228 0.193349280971022 0.122081632833643 0.261983727487208 0.339186493620245 23 0.2975 44
45 0.546130037748618 -1.00685371372532 0.889601150480332 0.968414322551738 0.570379743365123 0.270206768313638 0.270206768313638 0.375193958017056 0.49309213473868 -0.19902326389383 0.31145411782223 0.192197676142507 0.249305229143494 0.424603392574256 0.300881767048783 6 0.2975 45
46 0.67637434516984 -1.06947825294999 0.831251695468611 0.9721998713853 0.441115931562453 0.172868811989758 0.172868811989758 0.609343292203676 0.210602120337367 -0.290775003264382 0.65411464011937 0.611400500258016 0.279149398292582 0.260196300290094 0.249166543143744 24 0.305 46
47 0.585674353330258 -1.04087804370416 1.25114901051372 0.832640767746961 0.534367933535707 0.162932587806036 0.162932587806036 0.603431243626172 0.434814757642777 -0.168796405076073 0.455070474372927 0.449720983498953 0.433755315432311 0.309566470934206 0.142840927712686 8 0.2975 47
